Engagement_Score,Loyalty_Index,Purchase_Frequency,Support_Usage,Spending_Level,Cluster_Label
-8.97457946414256,10.088964856416387,6.327174117604643,-5.447548405988057,-6.884151894670445,0
-6.761580416445857,-8.717781194238961,8.209236975336585,2.0598929305313702,4.334350860506161,1
-9.952667455308013,9.408946089936162,6.723722174044022,-6.007792554213951,-6.7669763745685145,0
-7.073295787320454,-8.357755615055318,7.912596817440145,1.81709767389874,5.923036480703774,1
-10.142924393199038,9.783048904559916,6.560383471340122,-5.616675616745418,-7.133446196145572,0
-2.575517367544823,9.438838002689659,3.2564915331055717,2.9697648264251058,-7.573474177414997,2
-9.816910250924783,9.222480473475382,7.0917048935510625,-7.077556509540091,-6.261903189459662,0
-7.70526528186466,-9.398722932418185,7.617024095800826,1.6945044762770287,4.099926493014924,1
-3.6483114410914927,9.4636945012428,5.569483392290737,1.5322874596145168,-7.873642702887024,2
-9.067271776271431,9.19300665210946,7.775876738089901,-5.458506350363564,-5.468941986262757,0
-6.383007745383937,-9.958866118499264,8.514650606800634,1.6284248826829386,4.155613455415903,1
-7.0948897265279856,-8.628967460225342,7.0902370442230795,2.4024884133070086,4.301500832585294,1
-9.111142319694526,9.821971076900018,6.373785774715584,-4.822195990635815,-6.833648239074958,0
-9.221802240558453,10.833939148078507,5.642563489508775,-6.3647882554403985,-6.025045996229148,0
-6.415862342986713,-9.641265378922673,7.384753609886414,2.1721255187086292,3.8023243658192873,1
-2.0420212042674555,8.34093314092258,4.67148830881415,1.0290714095320737,-6.677059635618159,2
-6.884032719477264,-9.302782645607873,6.159191964676513,1.8544249354447853,4.088160208264029,1
-3.226770227086103,9.178971609145007,3.621624847663765,1.3405866583782846,-6.023446748505024,2
-6.3388638466168885,-9.229255702821739,7.791447632557179,1.9394044611457917,3.790946878979026,1
-7.28018045165299,-8.224671422651275,7.505260073024462,2.1835235066322998,3.8524921381321864,1
-8.903513156345817,10.21395501853008,5.782727113509903,-5.319591487043242,-5.975306688925608,0
-7.9707568257750605,-8.513408258762743,6.860530159175536,1.7099707646321256,3.518937178589931,1
-6.023267106134454,-8.457879194584224,7.567961222085326,0.9330777610461285,4.3491395459671285,1
-8.691322705951482,8.226202204726775,6.444871713092973,-5.313192674616507,-5.677903286108542,0
-8.867157962284663,9.563595117280597,6.986397318227347,-6.0387681704305844,-6.481741157424266,0
-5.6928831827331345,-9.67243724787078,7.761586574298403,2.5360438266235397,5.196763198659608,1
-2.6609476866843416,9.033638665634896,5.729842534361385,1.3708598477222007,-6.378777357565289,2
-1.9968127964120366,8.851661850825195,4.272022026483075,3.1205602678447146,-6.240490941623119,2
-6.169668158209622,-8.785339026956866,5.6598196696408225,3.2644520857844928,3.8741940444700083,1
-9.673257086095221,9.050854320199692,6.895787255304343,-7.3720269063577195,-6.545942952563872,0
-10.753517462003586,9.527290895774819,6.724891707391175,-6.336078143187937,-6.024791990361545,0
-6.000270358515341,-9.569216803877573,8.040201798695303,1.1662576964375324,3.8729141306327346,1
-3.0237381675404365,8.713016420279894,4.035528921154524,1.9425332848717427,-7.027758429092485,2
-2.518028578233712,9.492129386016117,4.4710477722974495,0.9743537662237274,-6.883346674955593,2
-9.979540257161105,9.057529416287837,5.951091502094174,-5.907587969638773,-5.7249603672276415,0
-7.062798083710131,-7.192102255033895,7.603881420519021,3.0034793956541384,3.7450863626332347,1
-7.80175859861549,-9.777910385800405,6.920728630904517,1.7345153916279985,3.8097302247565388,1
-2.5580062592741992,9.671555818903691,4.588827736837489,1.5534931598111654,-7.115277562189518,2
-9.449497932154038,10.306911590110877,6.8045931063594125,-5.691328879501621,-6.223199174144571,0
-2.831743787653197,9.688109706777201,3.870301177071937,2.4034171061384306,-6.772960308000279,2
-2.898796410204987,9.06415960759233,4.359616792153636,1.5328968996695136,-6.857989156269493,2
-9.786391735256364,9.296033925528285,8.26499913746438,-6.569158059572106,-6.990559428157323,0
-0.9763858275114807,8.62896933667776,4.127896852132301,2.024340224036743,-6.171332664367494,2
-1.9291413454873823,9.212630163773582,5.62024774634229,3.026035010848683,-5.818364121195618,2
-2.680145031779229,9.398387909872152,4.02467850190863,2.308772078657335,-7.778648582430772,2
-7.184825342398358,-9.630512602312947,7.995772654507455,1.5757525981803127,3.433476382288557,1
-7.38025066417747,-8.59959070055644,7.039259686837159,2.102539390821384,3.021864853413769,1
-9.4038601965746,8.90917828475338,6.675074731625319,-5.6274252269372536,-6.01384324615516,0
-9.226535442505918,9.874651966739762,6.533381086951884,-5.8208236872753565,-6.280216228614744,0
-6.580481796906469,-9.274249485015337,6.343053404396483,0.7769145741304062,4.694190847281138,1
-9.11708408845581,9.30817287979399,6.983310988491188,-5.860569183906613,-6.046851910223091,0
-6.869015557907653,-8.050714849566221,7.454378599375703,2.4477825221709777,4.035268858925683,1
-2.1321684014301763,8.870581706939355,3.9992979258675145,1.8054287013808061,-7.47823193479566,2
-2.146063402441797,9.683546106627002,5.27155377036973,2.1074186756853157,-7.04778865382941,2
-2.8165747108093333,9.105024771498426,5.817730367037004,1.6035959678326805,-7.493865703399572,2
-6.788938466509766,-8.941542184844854,7.647048995889475,1.822419636769423,4.809627210793774,1
-5.628912912845409,-9.84856437262281,7.762098535286829,2.660924384002386,4.432496885376352,1
